Country,Population,O+,A+,B+,AB+,O-,A-,B-,AB-
Argentina,"44,270,440",45.40%,34.26%,8.59%,2.64%,8.40%,0.44%,0.21%,0.06%
Armenia,"2,931,568",29.00%,46.30%,12.00%,5.60%,2.00%,3.70%,1.00%,0.40%
Australia,"24,642,693",40.00%,31.00%,8.00%,2.00%,9.00%,7.00%,2.00%,1.00%
Austria,"8,592,470",30.00%,37.00%,12.00%,5.00%,6.00%,7.00%,2.00%,1.00%
Bahrain,"1,418,695",48.48%,19.35%,22.61%,3.67%,3.27%,1.33%,1.04%,0.25%
Bangladesh,"164,833,667",31.80%,21.44%,34.58%,16.85%,1.39%,0.96%,0.96%,0.64%
Belgium,"11,444,053",38.00%,34.00%,8.60%,4.10%,7.00%,6.00%,1.50%,0.80%
Bolivia,"11,053,376",51.53%,29.45%,10.11%,1.15%,4.39%,2.73%,0.54%,0.10%
Bosnia and Herzegovina,"3,792,730",31.00%,36.00%,12.00%,6.00%,5.00%,7.00%,2.00%,1.00%
Brazil,"211,248,418",36.00%,34.00%,8.00%,2.50%,9.00%,8.00%,2.00%,0.50%
Bulgaria,"7,045,097",28.00%,37.00%,13.00%,7.00%,5.00%,7.00%,2.00%,1.00%
Cambodia,"16,077,172",46.70%,27.20%,18.50%,4.90%,1.30%,0.80%,0.50%,0.10%
Cameroon,"24,515,533",42.80%,38.80%,12.00%,3.30%,1.40%,1.20%,0.40%,0.10%
Canada,"36,627,140",39.00%,36.00%,7.60%,2.50%,7.00%,6.00%,1.40%,0.50%
Chile,"18,314,060",85.50%,8.70%,3.35%,1.00%,1.20%,0.10%,0.05%,0.10%
"China, Mainland","1,388,251,023",47.70%,27.80%,18.90%,5.00%,0.28%,0.19%,0.10%,0.03%
Colombia,"49,069,267",61.30%,26.11%,2.28%,1.47%,5.13%,2.70%,0.70%,0.31%
Croatia,"4,207,355",29.00%,36.00%,15.00%,5.00%,5.00%,6.00%,3.00%,1.00%
Cuba,"11,486,750",45.80%,33.50%,10.20%,2.90%,3.60%,2.80%,1.00%,0.20%
Cyprus,"1,189,395",35.22%,40.35%,11.11%,4.72%,3.85%,3.48%,0.87%,0.40%
Czech Republic,"10,555,152",27.00%,36.00%,15.00%,7.00%,5.00%,6.00%,3.00%,1.00%
Democratic Republic of the Congo,"85,358,111",59.50%,21.30%,15.20%,2.40%,1.00%,0.30%,0.20%,0.10%
Denmark,"5,711,902",35.00%,37.00%,8.00%,4.00%,6.00%,7.00%,2.00%,1.00%
Dominican Republic,"10,766,932",46.20%,26.40%,16.90%,3.10%,3.70%,2.10%,1.40%,0.20%
Ecuador,"16,665,756",75.00%,14.00%,7.10%,0.50%,2.38%,0.70%,0.30%,0.02%
Egypt,"95,220,838",52.00%,24.00%,12.40%,3.80%,5.00%,2.00%,0.60%,0.20%
Estonia,"1,305,745",29.50%,30.80%,20.70%,6.30%,4.30%,4.50%,3.00%,0.90%
Ethiopia,"104,352,727",39.00%,28.00%,21.00%,5.00%,3.00%,2.00%,1.00%,1.00%
Fiji,"912,208",43.00%,33.30%,16.50%,4.80%,1.00%,0.70%,0.50%,0.20%
Finland,"5,541,328",28.00%,35.00%,16.00%,7.00%,5.00%,6.00%,2.00%,1.00%
France,"64,939,560",36.00%,37.00%,9.00%,3.00%,6.00%,7.00%,1.00%,1.00%
Germany,"80,635,980",35.00%,37.00%,9.00%,4.00%,6.00%,6.00%,2.00%,1.00%
Ghana,"29,779,258",53.80%,17.60%,18.30%,2.80%,4.50%,1.30%,1.30%,0.20%
Greece,"10,892,849",37.40%,32.90%,11.00%,3.70%,7.00%,5.00%,2.00%,1.00%
Guinea,"13,291,741",46.88%,21.64%,22.86%,4.52%,2.00%,0.90%,1.00%,0.20%
Honduras,"9,348,898",57.50%,27.00%,7.80%,2.50%,2.70%,1.70%,0.60%,0.20%
Hong Kong,"7,402,115",41.50%,26.13%,25.34%,6.35%,0.32%,0.17%,0.14%,0.05%
Hungary,"9,787,801",27.00%,33.00%,16.00%,8.00%,5.00%,7.00%,3.00%,1.00%
Iceland,"334,311",46.80%,27.20%,9.00%,2.00%,8.20%,4.80%,1.60%,0.40%
India,"1,342,561,902",27.85%,20.80%,38.14%,8.93%,1.43%,0.57%,1.79%,0.49%
Indonesia,"263,519,317",36.82%,25.87%,28.85%,7.96%,0.18%,0.13%,0.15%,0.04%
Iran,"80,982,137",33.50%,27.00%,22.20%,7.00%,4.00%,3.00%,2.50%,0.80%
Iraq,"38,657,787",32.10%,25.00%,25.60%,7.40%,3.60%,2.70%,2.70%,0.90%
Ireland,"4,749,263",47.00%,26.00%,9.00%,2.00%,8.00%,5.00%,2.00%,1.00%
Israel,"8,323,659",32.00%,34.00%,17.00%,7.00%,3.00%,4.00%,2.00%,1.00%
Italy,"59,797,969",39.00%,36.00%,7.50%,2.50%,7.00%,6.00%,1.50%,0.50%
Ivory Coast,"23,869,656",46.50%,22.50%,22.50%,4.30%,2.00%,1.00%,1.00%,0.20%
Jamaica,"2,813,316",47.00%,23.00%,20.00%,3.00%,3.50%,2.00%,1.00%,0.50%
Japan,"126,044,340",29.90%,39.80%,19.90%,9.90%,0.15%,0.20%,0.10%,0.05%
Kazakhstan,"18,431,447",30.70%,29.80%,24.20%,8.30%,2.30%,2.20%,1.80%,0.70%
Kenya,"48,470,780",45.60%,25.20%,21.28%,4.20%,1.80%,1.00%,0.90%,0.02%
Latvia,"1,944,122",30.60%,31.00%,17.00%,6.00%,5.40%,6.00%,3.00%,1.00%
Lebanon,"6,039,438",38.40%,32.30%,9.50%,3.20%,7.70%,6.50%,1.70%,0.70%
Libya,"6,408,990",42.64%,28.86%,11.19%,4.50%,6.26%,4.24%,1.64%,0.67%
Liechtenstein,"38,140",34.00%,37.00%,10.00%,4.00%,6.00%,6.50%,1.80%,0.70%
Lithuania,"2,827,573",36.00%,33.00%,11.00%,4.00%,7.00%,6.00%,2.00%,1.00%
Luxemburg,"587,297",35.00%,37.00%,9.00%,4.00%,6.00%,6.00%,2.00%,1.00%
Macao,"606,413",41.50%,26.10%,25.40%,6.30%,0.33%,0.17%,0.15%,0.05%
Malaysia,"31,165,480",34.32%,30.35%,27.37%,7.46%,0.17%,0.15%,0.14%,0.04%
Malta,"432,810",38.00%,41.00%,7.00%,3.00%,5.00%,4.50%,1.00%,0.50%
Mauritania,"4,266,765",46.30%,26.68%,17.47%,3.85%,2.80%,1.60%,1.10%,0.20%
Mauritius,"1,267,303",38.30%,26.00%,25.00%,6.70%,1.70%,1.00%,1.00%,0.30%
Mexico,"130,227,836",59.09%,26.23%,8.53%,1.73%,2.73%,1.21%,0.40%,0.08%
Moldova,"4,043,722",28.50%,31.80%,17.60%,7.00%,5.00%,6.00%,3.00%,1.10%
Mongolia,"3,052,044",55.40%,27.70%,10.90%,4.96%,0.60%,0.30%,0.10%,0.04%
Morocco,"36,328,588",42.30%,29.80%,14.30%,4.10%,4.50%,3.10%,1.50%,0.40%
Myanmar,"53,507,932",35.70%,23.80%,32.70%,6.95%,0.30%,0.20%,0.30%,0.05%
Nepal,"29,188,100",35.20%,28.30%,27.10%,8.60%,0.30%,0.20%,0.20%,0.10%
Netherlands,"17,033,012",39.50%,35.00%,6.70%,2.50%,7.50%,7.00%,1.30%,0.50%
New Zealand,"4,604,996",38.00%,32.00%,9.00%,3.00%,9.00%,6.00%,2.00%,1.00%
Nigeria,"191,851,411",51.30%,22.40%,20.70%,2.60%,1.60%,0.70%,0.60%,0.10%
North Korea,"25,432,033",27.15%,31.08%,30.15%,11.32%,0.08%,0.10%,0.10%,0.03%
North Macedonia,"2,083,690",30.00%,34.00%,15.00%,6.00%,5.00%,6.00%,3.00%,1.00%
Norway,"5,330,986",33.20%,41.60%,6.80%,3.40%,5.80%,7.40%,1.20%,0.60%
Pakistan,"180,440,005",26.63%,21.60%,34.40%,9.52%,2.17%,1.66%,3.57%,0.45%
Peru,"32,167,717",70.00%,18.40%,7.80%,1.60%,1.40%,0.50%,0.28%,0.02%
Philippines,"103,801,747",45.90%,22.90%,24.90%,5.97%,0.10%,0.10%,0.10%,0.03%
Poland,"38,563,480",31.00%,32.00%,15.00%,7.00%,6.00%,6.00%,2.00%,1.00%
Portugal,"10,264,672",36.20%,39.80%,6.60%,2.90%,6.10%,6.80%,1.10%,0.50%
Romania,"19,237,087",28.00%,36.50%,13.60%,6.80%,5.00%,6.50%,2.40%,1.20%
Russia,"143,374,801",28.00%,30.00%,20.00%,7.00%,4.90%,5.80%,3.20%,1.10%
Saudi Arabia,"32,744,532",47.80%,23.90%,17.00%,4.00%,4.00%,2.00%,1.00%,0.30%
Serbia,"8,776,827",31.92%,35.28%,12.60%,4.20%,6.08%,6.72%,2.40%,0.80%
Singapore,"5,784,819",43.60%,23.90%,24.40%,6.00%,0.90%,0.70%,0.40%,0.10%
Slovakia,"5,432,265",27.20%,35.70%,15.30%,6.80%,4.80%,6.30%,2.70%,1.20%
Slovenia,"2,071,258",31.00%,33.00%,12.00%,6.00%,7.00%,7.00%,3.00%,1.00%
South Africa,"55,437,815",39.00%,32.00%,12.00%,3.00%,6.00%,5.00%,2.00%,1.00%
South Korea,"50,748,307",27.90%,33.87%,26.92%,10.98%,0.10%,0.13%,0.08%,0.02%
Spain,"46,070,163",35.00%,36.00%,8.00%,2.50%,9.00%,7.00%,2.00%,0.50%
Sudan,"40,827,975",48.00%,27.70%,15.20%,2.80%,3.50%,1.80%,0.80%,0.20%
Sweden,"9,920,843",32.00%,37.00%,10.00%,5.00%,6.00%,7.00%,2.00%,1.00%
Switzerland,"8,454,321",35.00%,40.00%,7.00%,3.00%,6.00%,7.00%,1.00%,1.00%
Syria,"18,920,698",43.00%,30.00%,14.00%,3.70%,5.00%,3.00%,1.00%,0.30%
Taiwan,"23,234,936",43.90%,25.90%,23.90%,6.00%,0.17%,0.10%,0.01%,0.02%
Thailand,"68,298,027",40.80%,16.90%,36.80%,4.97%,0.20%,0.10%,0.20%,0.03%
Turkey,"80,420,065",29.80%,37.80%,14.20%,7.20%,3.90%,4.70%,1.60%,0.80%
Uganda,"43,276,492",43.70%,39.00%,10.70%,3.90%,1.30%,1.00%,0.30%,0.10%
Ukraine,"44,404,078",32.00%,34.00%,15.00%,5.00%,5.00%,6.00%,2.00%,1.00%
United Arab Emirates,"3,398,017",44.10%,21.90%,20.90%,4.30%,4.30%,2.10%,2.00%,0.40%
United Kingdom,"65,512,375",38.00%,32.00%,8.00%,3.00%,9.00%,7.00%,2.00%,1.00%
US,"326,481,533",37.40%,35.70%,8.50%,3.40%,6.60%,6.30%,1.50%,0.60%
Venezuela,"32,011,082",58.30%,28.20%,5.60%,1.90%,3.70%,1.80%,0.40%,0.10%
Vietnam,"95,414,640",41.70%,21.90%,30.80%,4.98%,0.30%,0.10%,0.20%,0.02%
Yemen,"29,246,429",47.84%,27.50%,15.32%,2.14%,3.66%,2.10%,1.17%,0.16%
Zimbabwe,"16,912,880",63.30%,18.50%,14.60%,0.99%,1.70%,0.50%,0.40%,0.01%
