Country,A+,B+,AB+,O-,A-,B-,AB-
Albania,34.45,15.66,10.29,3.8,4.47,0.45,1.34
Argentina,34.26,8.59,2.64,8.4,0.44,0.21,0.06
Armenia,46.3,12.0,5.6,2.0,3.7,1.0,0.4
Australia,31.0,8.0,2.0,9.0,7.0,2.0,1.0
Austria,33.0,12.0,6.0,7.0,8.0,3.0,1.0
Bahrain,19.35,22.61,3.67,3.27,1.33,1.04,0.25
Bangladesh,21.44,34.58,8.85,1.39,0.96,0.96,0.64
Belgium,34.0,8.5,4.1,7.0,6.0,1.5,0.8
Bolivia,29.45,10.11,1.15,4.39,2.73,0.54,0.1
Bosnia and Herzegovina,36.0,12.0,6.0,5.0,7.0,2.0,1.0
Brazil,34.0,8.0,2.5,9.0,8.0,2.0,0.5
Bulgaria,37.0,13.0,7.0,5.0,7.0,2.0,1.0
Canada,36.0,7.6,2.5,7.0,6.0,1.4,0.5
Cambodia,27.2,18.5,4.9,1.3,0.8,0.5,0.1
Cameroon,38.8,12.0,3.3,1.4,1.2,0.4,0.1
Chile,8.7,3.35,0.99,1.2,0.1,0.05,0.1
China,27.8,18.9,5.0,0.3,0.2,0.1,0.03
Colombia,26.11,2.28,1.47,5.13,2.7,0.7,0.31
Democratic Republic of the Congo,21.3,15.2,2.4,1.0,0.3,0.2,0.1
Croatia,36.0,15.0,5.0,5.0,6.0,3.0,1.0
Cuba,32.77,9.47,2.35,5.0,3.58,1.03,0.25
Cyprus,40.35,11.11,4.72,3.85,3.48,0.87,0.4
Czech Republic,36.0,15.0,7.0,5.0,6.0,3.0,1.0
Denmark,37.0,8.0,4.0,6.0,7.0,2.0,1.0
Dominican Republic,26.4,16.9,3.1,3.7,2.1,1.4,0.2
Ecuador,14.0,7.1,0.5,2.38,0.7,0.3,0.02
Egypt,24.0,12.4,3.8,5.0,2.0,0.6,0.2
El Salvador,23.0,11.0,1.0,1.0,1.0,0.7,0.3
Estonia,30.8,20.79,6.4,4.3,4.5,3.0,0.9
Ethiopia,28.0,21.0,5.0,3.0,2.0,1.0,1.0
Fiji,33.3,16.5,4.8,1.0,0.7,0.5,0.2
Finland,38.0,15.0,7.0,4.0,6.0,2.0,1.0
France,37.0,9.0,3.0,6.0,7.0,1.0,1.0
Germany,37.0,9.0,4.0,6.0,6.0,2.0,1.0
Ghana,17.6,18.3,2.8,4.5,1.3,1.3,0.2
Greece,32.9,11.0,3.7,7.0,5.0,2.0,1.0
Guinea,21.64,22.86,4.52,2.0,0.9,1.0,0.2
Honduras,27.0,7.8,2.5,2.7,1.7,0.6,0.2
Hong Kong,26.13,25.34,6.35,0.32,0.17,0.14,0.05
Hungary,33.0,16.0,8.0,5.0,7.0,3.0,1.0
Iceland,26.4,9.3,1.6,8.4,4.6,1.7,0.4
India,20.8,38.13,8.93,1.43,0.57,1.79,0.49
Indonesia,25.87,28.85,7.96,0.18,0.13,0.15,0.04
Iran,27.0,22.2,7.0,4.0,3.0,2.5,0.8
Iraq,25.0,25.6,7.4,3.6,2.7,2.7,0.9
Ireland,26.0,9.0,2.0,8.0,5.0,2.0,1.0
Israel,34.0,17.0,7.0,3.0,4.0,2.0,1.0
Italy,36.0,7.5,2.5,7.0,6.0,1.5,0.5
Ivory Coast,22.5,22.5,4.3,2.0,1.0,1.0,0.2
Jamaica,23.0,20.0,3.0,3.5,2.0,1.0,0.5
Japan,39.8,19.9,9.9,0.15,0.2,0.1,0.05
Kazakhstan,29.8,24.2,8.3,2.3,2.2,1.8,0.7
Kenya,25.2,21.1,4.2,1.8,1.0,0.9,0.02
Korea,32.8,21.0,9.0,0.4,0.2,0.09,0.03
Latvia,31.0,17.0,6.0,5.4,6.0,3.0,1.0
Lebanon,32.3,9.4,3.2,7.7,6.5,1.7,0.7
Libya,28.86,11.16,4.5,6.26,4.24,1.64,0.67
Lithuania,33.0,11.0,4.0,7.0,6.0,2.0,1.0
Luxemburg,37.0,9.0,4.0,6.0,6.0,2.0,1.0
Macao,26.1,25.4,6.3,0.33,0.17,0.15,0.05
Macedonia,38.45,13.08,6.54,3.27,5.09,2.36,1.09
Malaysia,30.35,27.36,7.46,0.17,0.15,0.14,0.04
Mauritania,26.68,17.46,3.85,2.8,1.6,1.1,0.2
Mauritius,26.0,25.0,6.7,1.7,1.0,1.0,0.3
Mexico,29.9,8.0,1.63,2.7,1.5,0.4,0.08
Republic of Moldova,31.8,17.6,7.0,5.0,6.0,3.0,1.1
Mongolia,27.7,10.9,4.96,0.6,0.3,0.1,0.04
Morocco,29.8,14.3,4.1,4.5,3.1,1.5,0.4
Myanmar,23.8,32.7,6.95,0.3,0.2,0.3,0.05
Nepal,28.3,27.1,8.6,0.3,0.2,0.2,0.1
Netherlands,35.0,6.7,2.5,7.5,7.0,1.3,0.5
New Zealand,32.0,9.0,3.0,9.0,6.0,2.0,1.0
Nigeria,22.4,20.7,2.6,1.6,0.7,0.6,0.1
Norway,42.5,6.8,3.4,6.0,7.5,1.2,0.6
Pakistan,20.6,34.43,9.52,4.17,2.66,3.57,0.45
Papua New Guinea,37.2,9.6,2.8,1.0,0.8,0.4,0.2
Peru,18.4,7.8,1.6,1.4,0.5,0.28,0.02
Philippines,28.9,26.9,6.97,0.1,0.1,0.1,0.03
Poland,31.26,15.73,6.75,6.51,7.65,3.85,1.65
Portugal,39.8,6.6,2.9,6.0,6.6,1.1,0.5
Romania,37.0,14.0,7.0,5.0,6.0,2.0,1.0
Russia,31.0,9.0,2.1,6.0,4.0,1.0,0.9
Saudi Arabia,24.0,17.0,4.0,4.0,2.0,1.0,0.3
Serbia,35.28,12.6,4.2,6.08,6.72,2.4,0.8
Singapore,23.9,24.4,6.0,0.9,0.7,0.4,0.1
Slovakia,35.7,15.3,6.8,4.8,6.3,2.7,1.2
Slovenia,33.0,12.0,6.0,7.0,7.0,3.0,1.0
South Africa,32.0,12.0,3.0,7.0,5.0,2.0,1.0
Spain,34.0,8.0,2.5,9.0,8.0,2.0,0.5
Sudan,27.7,15.2,2.8,3.5,1.8,0.8,0.2
Sweden,37.0,10.0,5.0,6.0,7.0,2.0,1.0
Switzerland,37.0,13.0,7.0,5.0,6.0,4.0,2.0
Syria,30.0,14.0,3.7,5.0,3.0,1.0,0.3
Taiwan,25.9,23.9,6.0,0.1,0.1,0.01,0.02
Thailand,16.9,36.8,4.97,0.2,0.1,0.2,0.03
Turkey,37.8,14.2,7.2,3.9,4.7,1.6,0.8
Uganda,39.0,10.7,3.9,1.3,1.0,0.3,0.1
Ukraine,34.0,15.0,5.0,5.0,6.0,2.0,1.0
United Arab Emirates,21.9,20.8,4.3,4.3,2.1,2.0,0.4
United Kingdom,35.0,8.0,3.0,7.0,7.0,2.0,1.0
United States,35.7,8.5,3.4,6.6,6.3,1.5,0.6
Venezuela,28.3,5.3,1.8,3.5,1.7,0.7,0.2
Vietnam,21.9,30.8,4.98,0.3,0.1,0.2,0.02
Yemen,27.5,15.32,2.14,3.66,2.1,1.17,0.16
Zimbabwe,18.5,14.6,0.99,1.7,0.5,0.4,0.01
